Index,percentage
0,0.000000
1,23.576687
2,41.050327
3,55.731918
4,66.808624
5,73.900642
6,80.203720
7,84.738731
8,88.552422
9,90.980301
10,93.125252
11,95.045502
12,96.125000
13,96.732201
14,97.622108
15,97.958252
16,98.407806
17,98.725250
18,98.893280
19,99.022530
20,99.299812
21,99.357521
22,99.427940
23,99.448700
24,99.540169
25,99.508720
26,99.569061
27,99.558418
28,99.580528
29,99.596619
30,99.606499
